Enrichment,up/down,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO,up-regulated ,GO:0005996,monosaccharide metabolic process,12/290,258/23355,1.00E-04,0.342541402,0.020712215,11474/56421/14120/29858/11815/14873/12409/20779/11674/14381/108682/11911,12
GO,up-regulated ,GO:0006874,cellular calcium ion homeostasis,17/290,480/23355,0.000116366,0.398784923,0.022405037,12297/20855/11749/13385/14873/14718/11517/11535/11606/72844/21817/64051/11911/19222/319197/66972/385643,17
GO,up-regulated ,GO:0062013,positive regulation of small molecule metabolic process,9/290,152/23355,0.000123569,0.423471454,0.022405037,12846/11474/12048/11307/20779/11517/108682/11606/11808,9
GO,up-regulated ,GO:0098801,regulation of renal system process,5/290,41/23355,0.000148197,0.507872344,0.024810301,12846/20855/11606/14678/14613,5
GO,up-regulated ,GO:0001952,regulation of cell-matrix adhesion,8/290,123/23355,0.000153939,0.527549288,0.024810301,12305/11815/22122/20779/76509/20130/11854/140474,8
GO,up-regulated ,GO:0019674,NAD metabolic process,4/290,23/23355,0.000171152,0.586537092,0.024920234,18104/11474/56421/12409,4
GO,up-regulated ,GO:0055074,calcium ion homeostasis,17/290,496/23355,0.000171801,0.58876314,0.024920234,12297/20855/11749/13385/14873/14718/11517/11535/11606/72844/21817/64051/11911/19222/319197/66972/385643,17
GO,up-regulated ,GO:0006979,response to oxidative stress,15/290,410/23355,0.000206202,0.706655015,0.025762448,18104/26415/56615/11815/12954/67689/50880/20779/14381/15439/11808/22228/66680/11911/14870,15
GO,up-regulated ,GO:0000302,response to reactive oxygen species,10/290,200/23355,0.000211304,0.724137416,0.025762448,18104/26415/11815/12954/20779/15439/11808/22228/66680/14870,10
GO,up-regulated ,GO:0019318,hexose metabolic process,11/290,241/23355,0.000228073,0.781607141,0.025762448,11474/56421/14120/29858/11815/12409/20779/11674/14381/108682/11911,11
GO,up-regulated ,GO:0046942,carboxylic acid transport,12/290,283/23355,0.00023615,0.80928524,0.025762448,76257/11847/20494/74152/11606/14276/239273/218103/64051/216867/217316/625716,12
GO,up-regulated ,GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,4/290,25/23355,0.00023977,0.821692629,0.025762448,29816/11815/20779/19222,4
GO,up-regulated ,GO:0034368,protein-lipid complex remodeling,4/290,25/23355,0.00023977,0.821692629,0.025762448,68453/27226/11307/11808,4
GO,up-regulated ,GO:0034369,plasma lipoprotein particle remodeling,4/290,25/23355,0.00023977,0.821692629,0.025762448,68453/27226/11307/11808,4
GO,up-regulated ,GO:0045602,negative regulation of endothelial cell differentiation,3/290,11/23355,0.00029039,0.995165565,0.030086995,22436/15901/13610,3
GO,up-regulated ,GO:0001885,endothelial cell development,6/290,74/23355,0.000317719,1,0.030527733,20855/21937/11606/27375/15901/13610,6
GO,up-regulated ,GO:0007162,negative regulation of cell adhesion,12/290,293/23355,0.000323802,1,0.030527733,12550/15216/20358/11847/11815/24066/20779/71890/76509/93673/14870/140474,12
GO,up-regulated ,GO:0034367,protein-containing complex remodeling,4/290,27/23355,0.000326213,1,0.030527733,68453/27226/11307/11808,4
GO,up-regulated ,GO:0044262,cellular carbohydrate metabolic process,12/290,296/23355,0.000354946,1,0.031572224,15937/11474/15483/14120/14718/18682/20779/11517/56312/108682/233549/227327,12
GO,up-regulated ,GO:0034329,cell junction assembly,15/290,432/23355,0.00035914,1,0.031572224,12550/60363/11853/17913/11815/11423/223254/20779/11606/58235/18417/77596/11854/14613/70737,15
GO,up-regulated ,GO:0010872,regulation of cholesterol esterification,3/290,12/23355,0.000383634,1,0.031798374,11307/11606/11808,3
GO,up-regulated ,GO:0030388,"fructose 1,6-bisphosphate metabolic process",3/290,12/23355,0.000383634,1,0.031798374,56421/14120/11674,3
GO,up-regulated ,GO:0007264,small GTPase mediated signal transduction,15/290,439/23355,0.000424818,1,0.033945709,11853/64143/24066/192662/108100/223254/20779/11517/14766/20166/30938/20130/11854/319197/240057,15
GO,up-regulated ,GO:1900078,positive regulation of cellular response to insulin stimulus,4/290,29/23355,0.000432943,1,0.033945709,17913/20779/11606/14678,4
GO,up-regulated ,GO:0006098,pentose-phosphate shunt,3/290,13/23355,0.000494152,1,0.036757967,15483/14381/66171,3
GO,up-regulated ,GO:0038166,angiotensin-activated signaling pathway,3/290,13/23355,0.000494152,1,0.036757967,20779/11610/11606,3
GO,up-regulated ,GO:0045446,endothelial cell differentiation,7/290,113/23355,0.000532779,1,0.037086192,20855/22436/21937/11606/27375/15901/13610,7
GO,up-regulated ,GO:0061138,morphogenesis of a branching epithelium,10/290,225/23355,0.000537406,1,0.037086192,12550/12305/16776/18612/20732/20779/11535/11606/21817/15415,10
GO,up-regulated ,GO:0007043,cell-cell junction assembly,8/290,148/23355,0.0005396,1,0.037086192,12550/60363/11853/17913/11606/18417/14613/70737,8
GO,up-regulated ,GO:0006734,NADH metabolic process,4/290,31/23355,0.000562483,1,0.037086192,18104/11474/56421/12409,4
GO,up-regulated ,GO:0044062,regulation of excretion,4/290,31/23355,0.000562483,1,0.037086192,12846/20855/11606/14678,4
GO,up-regulated ,GO:0006740,NADPH regeneration,3/290,14/23355,0.000623158,1,0.040016237,15483/14381/66171,3
GO,up-regulated ,GO:0044282,small molecule catabolic process,12/290,316/23355,0.00063451,1,0.040016237,14317/11474/11847/56421/109857/22436/66514/14718/97212/50880/12036/74091,12
GO,up-regulated ,GO:0030856,regulation of epithelial cell differentiation,8/290,153/23355,0.0006718,1,0.040870411,18612/22436/19126/21937/12577/15901/13610/12443,8
GO,up-regulated ,GO:0032970,regulation of actin filament-based process,14/290,411/23355,0.00067623,1,0.040870411,29816/11853/20855/17913/192662/108100/12345/72042/11854/15901/13511/14613/56441/21924,14
GO,up-regulated ,GO:0034433,steroid esterification,3/290,15/23355,0.000771814,1,0.043903395,11307/11606/11808,3
GO,up-regulated ,GO:0034434,sterol esterification,3/290,15/23355,0.000771814,1,0.043903395,11307/11606/11808,3
GO,down-regulated,GO:0046394,carboxylic acid biosynthetic process,20/390,273/23355,3.96E-08,0.000144433,0.000102007,106861/14186/238505/19733/107272/54447/111175/12035/20216/18823/234309/15450/17918/70757/208665/13123/16891/30963/277753/268782,20
GO,down-regulated,GO:0016053,organic acid biosynthetic process,20/390,280/23355,6.01E-08,0.000219414,0.000102007,106861/14186/238505/19733/107272/54447/111175/12035/20216/18823/234309/15450/17918/70757/208665/13123/16891/30963/277753/268782,20
GO,down-regulated,GO:0006066,alcohol metabolic process,21/390,324/23355,1.46E-07,0.000533722,0.00016542,13121/14186/13115/105014/81535/13361/28200/54447/16329/111175/18441/18194/234309/15450/20751/225913/208665/13123/13360/22139/58242,21
GO,down-regulated,GO:0072330,monocarboxylic acid biosynthetic process,15/390,192/23355,8.90E-07,0.003247865,0.000754975,106861/14186/19733/54447/111175/20216/18823/234309/15450/17918/70757/208665/13123/16891/30963,15
GO,down-regulated,GO:0006633,fatty acid biosynthetic process,12/390,146/23355,6.55E-06,0.023925937,0.004449316,106861/19733/54447/111175/20216/18823/234309/15450/17918/70757/16891/30963,12
GO,down-regulated,GO:0015711,organic anion transport,18/390,343/23355,2.12E-05,0.077324681,0.01113066,12351/240638/67473/103098/216225/11421/218756/210463/20496/71781/28250/27421/28248/231583/15551/13853/434674/28254,18
GO,down-regulated,GO:0006631,fatty acid metabolic process,20/390,412/23355,2.30E-05,0.083796266,0.01113066,106861/19733/54447/18777/111175/80911/20216/18823/234309/15450/17918/70757/320204/16891/30963/277753/433247/436059/100043108/380997,20
GO,down-regulated,GO:1901617,organic hydroxy compound biosynthetic process,14/390,226/23355,2.93E-05,0.106821429,0.012415456,13121/14186/13115/13361/54447/18441/18194/20751/17918/94224/208665/13123/11607/13360,14
GO,down-regulated,GO:0042493,response to drug,15/390,259/23355,3.35E-05,0.122263625,0.012631329,11944/13115/67473/74519/230459/27421/20377/14402/110877/67702/15551/433247/28254/100043108/380997,15
GO,down-regulated,GO:0016042,lipid catabolic process,17/390,330/23355,4.51E-05,0.164576475,0.015302488,106861/13115/20598/18606/54447/67758/80911/114664/72361/15450/94224/208665/320204/16891/11682/13897/436059,17
GO,down-regulated,GO:0043171,peptide catabolic process,5/390,26/23355,6.23E-05,0.227626819,0.019240884,68044/11421/240028/54381/17386,5
GO,down-regulated,GO:0046942,carboxylic acid transport,15/390,283/23355,9.14E-05,0.333706695,0.025856989,240638/67473/103098/216225/11421/210463/20496/71781/28250/27421/28248/231583/15551/13853/28254,15
GO,down-regulated,GO:0019751,polyol metabolic process,9/390,116/23355,0.000145752,0.532140397,0.038060734,13115/81535/13361/54447/16329/18441/20751/225913/58242,9
GO,down-regulated,GO:0042445,hormone metabolic process,12/390,203/23355,0.000167199,0.610445305,0.039438233,53419/13115/105014/11421/114664/94224/208665/54381/19699/13360/22139/15493,12
GO,down-regulated,GO:0006814,sodium ion transport,13/390,236/23355,0.000182328,0.665680705,0.039438233,11944/103098/216225/218756/12892/20496/230612/20516/77031/108058/75785/110876/67149,13
GO,down-regulated,GO:0009100,glycoprotein metabolic process,16/390,336/23355,0.000185879,0.678645768,0.039438233,14423/241230/20219/20449/11593/15450/194388/60322/14537/94192/66967/26879/381510/14348/109785/53374,16
GO,down-regulated,GO:0001822,kidney development,15/390,321/23355,0.000357906,1,0.071470492,11421/382985/11600/12633/13841/20377/71785/231470/14537/231214/94192/11607/277753/235320/12829,15
GO,down-regulated,GO:0006694,steroid biosynthetic process,10/390,161/23355,0.000390522,1,0.073651047,13121/14186/13115/114664/18194/94224/208665/13123/13360/15493,10
GO,down-regulated,GO:0007416,synapse assembly,11/390,193/23355,0.00042295,1,0.075568713,18208/99633/13841/54725/14402/16979/219228/18708/19699/74762/245446,11
GO,down-regulated,GO:0006022,aminoglycan metabolic process,8/390,109/23355,0.000493088,1,0.081546685,16424/11600/13645/15931/16425/60322/26879/53374,8
GO,down-regulated,GO:0006665,sphingolipid metabolic process,9/390,137/23355,0.000504452,1,0.081546685,241230/20598/81535/18606/54447/20449/70757/74442/30963,9
GO,down-regulated,GO:0072001,renal system development,15/390,336/23355,0.000575736,1,0.088384714,11421/382985/11600/12633/13841/20377/71785/231470/14537/231214/94192/11607/277753/235320/12829,15
GO,down-regulated,GO:0048015,phosphatidylinositol-mediated signaling,10/390,170/23355,0.000598824,1,0.088384714,14389/11600/16452/13645/71785/72179/227120/18708/224020/19699,10
GO,down-regulated,GO:0030203,glycosaminoglycan metabolic process,7/390,88/23355,0.000682426,1,0.091070549,16424/11600/13645/15931/16425/60322/53374,7
GO,down-regulated,GO:0048017,inositol lipid-mediated signaling,10/390,173/23355,0.000685916,1,0.091070549,14389/11600/16452/13645/71785/72179/227120/18708/224020/19699,10
GO,down-regulated,GO:0001655,urogenital system development,16/390,379/23355,0.000697502,1,0.091070549,11421/382985/11600/12633/13841/20377/71785/231470/14537/13123/231214/94192/11607/277753/235320/12829,16
GO,down-regulated,GO:0009101,glycoprotein biosynthetic process,13/390,275/23355,0.00078201,1,0.096408216,14423/241230/20449/15450/194388/60322/14537/94192/26879/381510/14348/109785/53374,13
GO,down-regulated,GO:0006706,steroid catabolic process,4/390,26/23355,0.000855686,1,0.096408216,13115/114664/94224/208665,4
GO,down-regulated,GO:1903510,mucopolysaccharide metabolic process,6/390,67/23355,0.000882606,1,0.096408216,16424/11600/13645/16425/60322/53374,6
GO,down-regulated,GO:0014842,regulation of skeletal muscle satellite cell proliferation,3/390,12/23355,0.000908778,1,0.096408216,11600/16452/12633,3
GO,down-regulated,GO:0070341,fat cell proliferation,3/390,12/23355,0.000908778,1,0.096408216,13557/211739/26367,3
GO,down-regulated,GO:0070344,regulation of fat cell proliferation,3/390,12/23355,0.000908778,1,0.096408216,13557/211739/26367,3
GO,down-regulated,GO:0008202,steroid metabolic process,14/390,319/23355,0.001024252,1,0.105365593,13121/14186/13115/28200/114664/18194/15450/94224/208665/13123/11607/13360/15493/28254,14
GO,down-regulated,GO:0015718,monocarboxylic acid transport,10/390,184/23355,0.001099359,1,0.107865907,240638/216225/11421/210463/20496/71781/28250/28248/13853/28254,10
GO,down-regulated,GO:0006766,vitamin metabolic process,6/390,70/23355,0.001112106,1,0.107865907,14186/13115/238505/13361/19733/29807,6
GO,down-regulated,GO:0070374,positive regulation of ERK1 and ERK2 cascade,11/390,218/23355,0.001156152,1,0.108581465,14186/11600/12633/18441/13645/20295/71785/18816/108058/14184/81799,11
GO,down-regulated,GO:0006869,lipid transport,17/390,438/23355,0.001210875,1,0.108581465,216225/74309/11421/81535/210463/20496/13645/28250/15450/235527/28248/76184/11607/16891/13853/320940/28254,17
GO,down-regulated,GO:0010660,regulation of muscle cell apoptotic process,7/390,97/23355,0.001215439,1,0.108581465,13557/16452/12633/18708/11607/108058/18573,7
GO,down-regulated,GO:0034311,diol metabolic process,4/390,29/23355,0.001306857,1,0.110141857,81535/13361/54447/20751,4
GO,down-regulated,GO:0006892,post-Golgi vesicle-mediated transport,7/390,99/23355,0.001369188,1,0.110141857,93835/18777/67015/17918/52639/107371/19889,7
GO,down-regulated,GO:0014841,skeletal muscle satellite cell proliferation,3/390,14/23355,0.001466755,1,0.110141857,11600/16452/12633,3
GO,down-regulated,GO:0030497,fatty acid elongation,3/390,14/23355,0.001466755,1,0.110141857,111175/70757/30963,3
GO,down-regulated,GO:0050808,synapse organization,18/390,486/23355,0.001483152,1,0.110141857,18208/14130/72162/99633/13841/231602/245880/54725/14402/17918/16979/219228/18708/19699/74762/245446/77097/12386,18
GO,down-regulated,GO:0006767,water-soluble vitamin metabolic process,4/390,30/23355,0.001488242,1,0.110141857,238505/13361/19733/29807,4
GO,down-regulated,GO:0007214,gamma-aminobutyric acid signaling pathway,4/390,30/23355,0.001488242,1,0.110141857,20496/14402/230085/227120,4
GO,down-regulated,GO:0006805,xenobiotic metabolic process,7/390,101/23355,0.001537724,1,0.110141857,74519/12972/230459/433247/28254/100043108/380997,7
GO,down-regulated,GO:0010876,lipid localization,18/390,488/23355,0.001551657,1,0.110141857,216225/74309/11421/81535/210463/20496/13645/28250/15450/235527/28248/76184/211739/11607/16891/13853/320940/28254,18
GO,down-regulated,GO:0050807,regulation of synapse organization,12/390,261/23355,0.001557355,1,0.110141857,18208/14130/72162/99633/13841/16979/18708/19699/74762/245446/77097/12386,12
GO,down-regulated,GO:0010657,muscle cell apoptotic process,7/390,102/23355,0.001627832,1,0.112776746,13557/16452/12633/18708/11607/108058/18573,7
GO,down-regulated,GO:0055067,monovalent inorganic cation homeostasis,9/390,163/23355,0.001726604,1,0.114436295,12351/53419/11944/11421/218756/20496/77031/11607/108058,9
KEGG,up-regulated,mmu00980,Metabolism of xenobiotics by cytochrome P450,18/162,73/8979,3.70E-16,9.69E-14,8.60E-14,56615/15483/109857/67689/14873/12409/14859/66447/14860/13849/74134/12408/14858/14862/225884/14870/394430/394434,18
KEGG,up-regulated,mmu00480,Glutathione metabolism,14/162,72/8979,2.66E-11,6.98E-09,3.10E-09,56615/14873/14859/66447/69065/66073/14381/14860/93673/71522/14858/14862/225884/14870,14
KEGG,up-regulated,mmu05204,Chemical carcinogenesis - DNA adducts,14/162,84/8979,2.35E-10,6.15E-08,1.81E-08,56615/15483/14873/14859/66447/14860/13849/12408/14858/14862/225884/14870/394430/394434,14
KEGG,up-regulated,mmu00982,Drug metabolism - cytochrome P450,13/162,71/8979,3.11E-10,8.15E-08,1.81E-08,56615/67689/14873/14859/66447/14860/14858/14862/225884/14870/71724/394430/394434,13
KEGG,up-regulated,mmu00983,Drug metabolism - other enzymes,14/162,92/8979,8.22E-10,2.15E-07,3.83E-08,56615/22436/14873/14859/80914/66447/234673/14860/14858/14862/225884/14870/394430/394434,14
KEGG,up-regulated,mmu01524,Platinum drug resistance,10/162,80/8979,1.54E-06,0.000403109,5.97E-05,12048/56615/14873/14859/66447/14860/14858/14862/225884/14870,10
KEGG,up-regulated,mmu05418,Fluid shear stress and atherosclerosis,13/162,148/8979,2.46E-06,0.000645491,8.19E-05,18104/26415/56615/14873/14859/66447/20779/21937/14860/14858/14862/225884/14870,13
KEGG,up-regulated,mmu05225,Hepatocellular carcinoma,13/162,174/8979,1.46E-05,0.003836056,0.000425757,18104/12048/56615/14873/14859/66447/66993/14860/14858/14862/225884/14870/12443,13
KEGG,up-regulated,mmu05207,Chemical carcinogenesis - receptor activation,14/162,225/8979,5.32E-05,0.013936374,0.001374911,56615/14873/14859/66447/20779/14860/14678/13849/11911/14858/14862/12443/394430/394434,14
KEGG,up-regulated,mmu00030,Pentose phosphate pathway,5/162,33/8979,0.000283438,0.074260685,0.006593657,56421/14120/11674/14381/66171,5
KEGG,up-regulated,mmu00051,Fructose and mannose metabolism,5/162,36/8979,0.000431009,0.11292428,0.009115112,56421/14120/29858/22122/11674,5
KEGG,up-regulated,mmu01230,Biosynthesis of amino acids,7/162,79/8979,0.000532922,0.139625634,0.010331212,11847/56421/14718/11674/12036/108682/13806,7
KEGG,up-regulated,mmu05208,Chemical carcinogenesis - reactive oxygen species,12/162,222/8979,0.000666327,0.174577797,0.011923755,18104/26415/56615/14873/14859/66447/20779/14860/13849/12408/14858/14862,12
KEGG,up-regulated,mmu00010,Glycolysis / Gluconeogenesis,6/162,67/8979,0.001264758,0.331366534,0.0210159,56421/14120/67689/11674/72535/13806,6
KEGG,up-regulated,mmu01200,Carbon metabolism,8/162,121/8979,0.001513091,0.396429949,0.02346619,56421/14120/14718/11674/14381/108682/66171/13806,8
KEGG,up-regulated,mmu04976,Bile secretion,7/162,100/8979,0.00214736,0.562608393,0.031221488,20494/11829/239273/13849/625716/394430/394434,7
KEGG,up-regulated,mmu05145,Toxoplasmosis,7/162,110/8979,0.00367583,0.963067537,0.050300836,26415/12048/16776/16782/21937/14678/193740,7
KEGG,up-regulated,mmu04614,Renin-angiotensin system,4/162,37/8979,0.004241484,1,0.054816842,11606/13648/16619/16622,4
KEGG,up-regulated,mmu00220,Arginine biosynthesis,3/162,20/8979,0.005244916,1,0.061006654,11847/14718/108682,3
KEGG,up-regulated,mmu01210,2-Oxocarboxylic acid metabolism,3/162,20/8979,0.005244916,1,0.061006654,14718/12036/108682,3
KEGG,up-regulated,mmu00350,Tyrosine metabolism,4/162,40/8979,0.005629077,1,0.062357195,12846/67689/14718/71724,4
KEGG,up-regulated,mmu00140,Steroid hormone biosynthesis,6/162,92/8979,0.006253292,1,0.066123332,12846/15483/192970/56448/394430/394434,6
KEGG,up-regulated,mmu04530,Tight junction,8/162,167/8979,0.0106322,1,0.107148624,60363/20779/54357/67938/27375/18417/70737/12443,8
KEGG,up-regulated,mmu00340,Histidine metabolism,3/162,26/8979,0.011054247,1,0.107148624,14317/67689/72535,3
KEGG,up-regulated,mmu05100,Bacterial invasion of epithelial cells,5/162,76/8979,0.011867715,1,0.110432212,12550/13429/20779/71890/53860,5
KEGG,up-regulated,mmu00330,Arginine and proline metabolism,4/162,54/8979,0.016045486,1,0.14356487,11847/14718/72535/75986,4
KEGG,up-regulated,mmu00053,Ascorbate and aldarate metabolism,3/162,31/8979,0.017900344,1,0.150156161,72535/394430/394434,3
KEGG,up-regulated,mmu00280,"Valine, leucine and isoleucine degradation",4/162,57/8979,0.019229924,1,0.150156161,97212/12036/72535/71724,4
KEGG,up-regulated,mmu00410,beta-Alanine metabolism,3/162,32/8979,0.019495936,1,0.150156161,67689/97212/72535,3
KEGG,up-regulated,mmu01240,Biosynthesis of cofactors,7/162,152/8979,0.020009498,1,0.150156161,18104/29858/12036/216134/72535/394430/394434,7
KEGG,up-regulated,mmu04261,Adrenergic signaling in cardiomyocytes,7/162,152/8979,0.020009498,1,0.150156161,12297/26415/20266/11606/14678/11911/21924,7
KEGG,up-regulated,mmu04961,Endocrine and other factor-regulated calcium reabsorption,4/162,61/8979,0.024045711,1,0.174805988,13429/13648/16619/16622,4
KEGG,up-regulated,mmu00830,Retinol metabolism,5/162,97/8979,0.030711426,1,0.216498413,74134/71724/216454/394430/394434,5
KEGG,up-regulated,mmu00250,"Alanine, aspartate and glutamate metabolism",3/162,39/8979,0.032796218,1,0.220226171,66514/14718/108682,3
KEGG,up-regulated,mmu05215,Prostate cancer,5/162,99/8979,0.033133575,1,0.220226171,20732/11911/225884/14870/12443,5
KEGG,up-regulated,mmu04137,Mitophagy - animal,4/162,68/8979,0.034093733,1,0.220313302,12048/20779/20130/11911,4
KEGG,up-regulated,mmu05219,Bladder cancer,3/162,41/8979,0.037276392,1,0.234369348,12550/20779/12443,3
KEGG,up-regulated,mmu04520,Adherens junction,4/162,71/8979,0.039044547,1,0.239026176,12550/108100/20779/58235,4
KEGG,up-regulated,mmu05417,Lipid and atherosclerosis,8/162,216/8979,0.041660144,1,0.244573183,26415/12048/11307/20779/21937/11808/11911/193740,8
KEGG,up-regulated,mmu04975,Fat digestion and absorption,3/162,43/8979,0.042053307,1,0.244573183,67512/11808/233549,3
KEGG,down-regulated,mmu01240,Biosynthesis of cofactors,14/206,152/8979,9.64E-06,0.002767979,0.002629403,71562/13361/12892/19733/107272/110006/100727/29807/12035/67375/20751/72094/112417/100559,14
KEGG,down-regulated,mmu00140,Steroid hormone biosynthesis,10/206,92/8979,4.55E-05,0.013057948,0.005617339,100727/72094/94224/208665/13123/112417/100559/15493/433247/380997,10
KEGG,down-regulated,mmu00053,Ascorbate and aldarate metabolism,6/206,31/8979,6.18E-05,0.017740163,0.005617339,19733/110006/100727/72094/112417/100559,6
KEGG,down-regulated,mmu00983,Drug metabolism - other enzymes,9/206,92/8979,0.000247441,0.071015673,0.016865083,382985/110006/100727/72361/72094/112417/100559/13897/436059,9
KEGG,down-regulated,mmu00860,Porphyrin metabolism,6/206,43/8979,0.000407019,0.116814429,0.022193242,12892/110006/100727/72094/112417/100559,6
KEGG,down-regulated,mmu00100,Steroid biosynthesis,4/206,20/8979,0.000976833,0.28035117,0.04370391,13121/13115/18194/13360,4
KEGG,down-regulated,mmu00040,Pentose and glucuronate interconversions,5/206,35/8979,0.001122127,0.322050566,0.04370391,110006/100727/72094/112417/100559,5
KEGG,down-regulated,mmu00603,Glycosphingolipid biosynthesis - globo and isoglobo series,3/206,16/8979,0.005344979,1,0.182151253,20449/26879/14348,3
KEGG,down-regulated,mmu00830,Retinol metabolism,7/206,97/8979,0.006795743,1,0.198191267,28200/100727/72094/112417/100559/277753/433247,7
KEGG,down-regulated,mmu00270,Cysteine and methionine metabolism,5/206,54/8979,0.00769558,1,0.198191267,238505/107272/12035/20603/268782,5
